SNR(dB) MSE_Legitimate MSE_Eavesdropper_with_CSI MSE_Eavesdropper_without_CSI MSE_Eavesdropper_noiseless
0 4.999999999999999 9.876651951812935 9.873036056762206 5.773504046493506
2 3.8686317984685705 9.805669335377972 9.800101489780122 4.95786441744353
4 2.847472489508015 9.694781702718833 9.686455015264011 4.237715097999495
6 2.0076000891310173 9.525639386293287 9.515021417991285 3.675033270837253
8 1.3680688860320984 9.266406889596242 9.250265059597654 3.239530390701846
10 0.90909090909091 8.88141492267227 8.863011955567883 2.9303072836704755
12 0.5935094310276767 8.321309544718064 8.296217027047126 2.7159934574550344
14 0.38286503882254763 7.5523645535970445 7.5197164781272745 2.5772914660703496
