SNR(dB) MSE_Legitimate MSE_Eavesdropper_with_CSI MSE_Eavesdropper_without_CSI MSE_Eavesdropper_noiseless
0 5.0 9.98735332272221 9.98693454587177 5.767693781451363
2 3.8686317984685705 9.980048418688302 9.979348594534674 4.959614711818402
4 2.847472489508014 9.968430493327396 9.967271505768373 4.247795538219149
6 2.0076000891310173 9.95001130318802 9.948412618832496 3.67017026247369
8 1.3680688860320984 9.920950226583274 9.918304584333757 3.233252375086895
10 0.9090909090909083 9.87542212957158 9.871640065367352 2.9244528194839607
12 0.593509431027675 9.803644649117622 9.79782053019047 2.714472610753971
14 0.38286503882254763 9.692147067000148 9.683940075910504 2.5712397238819333
